-1022968621,964049333034d67cc10eedd98dc27ab4|ce848431b393240b819252cccbb2b21d|e78554390dcdb390d7543bc6de30df9a|9b0cd7258b21f70c7aa25f53c62876b1|2526c8372ef066195a5b7a94c16621bc,Access: Public|Access: license=Open Access|Scope: Object type=Score|Target audience=researchers|Purpose: Research|Data size=UNKNOWN|Resource type=Digital Library|Scope: Formats=pdf|Interface: SPARQL endpoint?=N/A|Type: Collection|Interface: Browsable?|Feature: Descriptive Metadata|Interface: Human consumption?|Scope: MO type=Score|Situation/Task=musicology,-43800352|-855084795|430899123|334711646,332789877|-1191162896|143738374
-1023213368,1f22715fc12b855c59def2231d9f716a|a7dc5a56994de86e96129b8e019d9795|5edd9348b413e57f943b51265e9a676a|3bb325f416f060d9c57c50ad404886a1|50e8b3870c73f7af2f756949369a9cc2|0e8678f6910f55cfb0eda22679cd9368|5fb14724ce1dd4e60634f31dadb85a06|3cb77b4b75b1a6cf64dc2fc5d82db151|6c76de398b8c2509fb117d0c6913c7ce|28cc810f4dc79e6c2b79d82e4f6cfc27|2c6554bc69e82278feade459c9df9352|f45b258081585bbd49a0df45471ac16a|2526c8372ef066195a5b7a94c16621bc|6f79999514d6d15b45b4f908b8e5af8a,Access: Public|Target audience=researchers|Type: Collection|Access: Free/Charged=Free|Interface: Browsable?|Resource type=Digital Library|Format: Interoperable?|Feature: Descriptive Metadata|Interface: Human consumption?,367438676|1719563277|1656030434,1094589547|-1251926021|1448615491|-1720749021|-360197110|-2049914243|-636275042|-1334747698
-1023279070,38b0d9f1d9243bb1b347fba80bb72f94|964049333034d67cc10eedd98dc27ab4|ce848431b393240b819252cccbb2b21d|8b87fd09c4aef4919d0e9d3da9a27fd8|e78554390dcdb390d7543bc6de30df9a|9b0cd7258b21f70c7aa25f53c62876b1,Access: Public|Access: license=Open Access|Scope: Object type=Score|Target audience=researchers|Purpose: Research|Data size=UNKNOWN|Resource type=Digital Library|Scope: Formats=pdf|Interface: SPARQL endpoint?=N/A|Situation/Task=music history|Type: Collection|Interface: Browsable?|Feature: Descriptive Metadata|Interface: Human consumption?|Scope: MO type=Score,-44110801|334401197|430588674|-855084795,-1191162896|332479428|143427925
-1024534357,0e8678f6910f55cfb0eda22679cd9368|1f22715fc12b855c59def2231d9f716a|3cb77b4b75b1a6cf64dc2fc5d82db151|6c76de398b8c2509fb117d0c6913c7ce|5edd9348b413e57f943b51265e9a676a|2c6554bc69e82278feade459c9df9352,Access: Public|Target audience=researchers|Access: Free/Charged=Free|Purpose: Research|Resource type=Digital Library|Interface: SPARQL endpoint?=N/A|Situation/Task=music history|Type: Collection|Interface: Browsable?|Scope: Formats=jpg|Format: Interoperable?|Feature: Descriptive Metadata|Interface: Human consumption?,-1687550615|-58261760|1147261130|1026700921,-755009763|-1259466693|1686355480
-1026846180,5edd9348b413e57f943b51265e9a676a|7e883cf48788b31af7134241e3c816b8|f45b258081585bbd49a0df45471ac16a|2526c8372ef066195a5b7a94c16621bc|6f79999514d6d15b45b4f908b8e5af8a,Access: license=Open Access|Target audience=researchers|Type: Collection|Access: Free/Charged=Free|Interface: Browsable?|Purpose: Research|Resource type=Digital Library|Format: Interoperable?|Feature: Descriptive Metadata|Interface: Human consumption?|Affordance: Is playable?,-233839475|-1525449435|363805864,-1508070663|1444982679|525344471|1251483698|-318426209
-102847850,0e8678f6910f55cfb0eda22679cd9368|b29462541d24eb0c8511b64d3e70da3e|6c76de398b8c2509fb117d0c6913c7ce|b97fa4f57c12ec52514d013d49c0f5e3|ce848431b393240b819252cccbb2b21d|42fb2a7262d19abcc0a5e4203d3523d7|50e8b3870c73f7af2f756949369a9cc2|28cc810f4dc79e6c2b79d82e4f6cfc27|2c6554bc69e82278feade459c9df9352|25cd798e5fa122c6f26d869223c5aa5c|6f79999514d6d15b45b4f908b8e5af8a,Access: Public|Scope: Geographical|Target audience=researchers|Interface: Is it queryable?|Type: Collection|Access: Free/Charged=Free|Purpose: Research|Interface: Browsable?|Resource type=Digital Library|Feature: Descriptive Metadata|Interface: Human consumption?,-1655038501|987431487|-831128728|-765864108|-254978062,-1301298946|713572074|-2098159022|-1610369824|239536563|-1129548725|-800383503
-1031774352,0e8678f6910f55cfb0eda22679cd9368|6c76de398b8c2509fb117d0c6913c7ce|42fb2a7262d19abcc0a5e4203d3523d7|50e8b3870c73f7af2f756949369a9cc2|25cd798e5fa122c6f26d869223c5aa5c,Access: Public|Scope: Geographical|Scope: Object type=Score|Target audience=researchers|Access: Free/Charged=Free|Purpose: Research|Resource type=Digital Library|Interface: Is it queryable?|Type: Collection|Interface: Browsable?|Scope: Formats=jpg|Feature: Descriptive Metadata|Interface: Human consumption?|Scope: MO type=Score,-1301298946|-1694790610|-724015538|-800383503,-1034588299|-750985187|-418304672|953001209|-944897996
-1034588299,0e8678f6910f55cfb0eda22679cd9368|6c76de398b8c2509fb117d0c6913c7ce|42fb2a7262d19abcc0a5e4203d3523d7,Access: Public|Scope: Geographical|Scope: Object type=Score|Target audience=researchers|Access: Free/Charged=Free|Purpose: Research|Resource type=Digital Library|Interface: SPARQL endpoint?=N/A|Situation/Task=music history|Interface: Is it queryable?|Type: Collection|Interface: Browsable?|Scope: Formats=jpg|Feature: Descriptive Metadata|Interface: Human consumption?|Scope: MO type=Score,-1031774352|-418304672|-1697604557|-803197450|-1304112893|1181853388,-657071886|-1308484581|-493381269
-103575160,1f22715fc12b855c59def2231d9f716a|a7dc5a56994de86e96129b8e019d9795|3bb325f416f060d9c57c50ad404886a1|50e8b3870c73f7af2f756949369a9cc2|0e8678f6910f55cfb0eda22679cd9368|5fb14724ce1dd4e60634f31dadb85a06|3cb77b4b75b1a6cf64dc2fc5d82db151|6c76de398b8c2509fb117d0c6913c7ce|7e883cf48788b31af7134241e3c816b8|28cc810f4dc79e6c2b79d82e4f6cfc27|2c6554bc69e82278feade459c9df9352|f45b258081585bbd49a0df45471ac16a|6f79999514d6d15b45b4f908b8e5af8a,Target audience=researchers|Interface: Is it queryable?|Type: Collection|Access: Free/Charged=Free|Interface: Browsable?|Resource type=Digital Library|Format: Interoperable?|Feature: Descriptive Metadata|Interface: Human consumption?,1287076884|-1227775422|1719563277,559441098|-801110813|-1975670346|1448615491|-1130276035|283363166
-1035962618,964049333034d67cc10eedd98dc27ab4|a7dc5a56994de86e96129b8e019d9795,Access: Public|Scope: Object type=Score|Target audience=researchers|Collection: Size=<100|Access: Free/Charged=Free|Purpose: Research|Resource type=Digital Library|Scope: Artist|Interface: SPARQL endpoint?=N/A|Type: Collection|Interface: Browsable?|Feature: Descriptive Metadata|Interface: Human consumption?|Scope: MO type=Score,-54314160|-1189420771,-618177344|1569844155
